"","2","3","4"
"E",10.204011320773,6.37438329511109e-07,1.45616033969383e-13
"W",6.48105821992564,2.3691993028727e-05,2.01017234564513e-55
"P",10.3632137611561,4.49868365382061e-17,2.96910905973983
