"","2","3","4"
"Ef",8.399146116681,1.11683945011093e-12,2.62737773195016e-27
"Eb",9.06451910339573,3.87942955262576e-18,9.99667123651157e-32
"Elr",10.0353056997281,0.000441878176799166,5.90909977543796e-15
"Wf",7.20057960469122,1.82329629592769e-05,2.27383547813135e-43
"Wb",5.6245475234622,5.43145986723159e-05,4.0769287438201e-33
"Wlr",5.96047877629116,4.52427258975863e-05,3.70355518457895e-235
"Pf",10.0632706083442,1.07201035830316e-12,0.583929062237818
"Pb",0,0,0
"Plr",10.0893360030237,8.01561868187201e-23,1.91351569136388
