"","contrast","estimate","SE","df","t.ratio","p.value"
"1","3-2",0.0288394208142418,0.00844529249717812,38.4965177347675,3.41485162578776,0.00455101423300236
"2","3-1",0.0375915755663655,0.00844529249717812,38.4965177347675,4.45118692797511,0.000212929770927299
"3","2-1",0.00875215475212371,0.00627116694919694,31.3313198788412,1.39561820360156,0.517927619724062
